source,target,relationship
FAULT001,RC001,LIKELY_CAUSED_BY
FAULT001,RC004,LIKELY_CAUSED_BY
FAULT001,RC007,LIKELY_CAUSED_BY

FAULT002,RC002,LIKELY_CAUSED_BY
FAULT002,RC010,LIKELY_CAUSED_BY

FAULT003,RC006,LIKELY_CAUSED_BY
FAULT003,RC009,LIKELY_CAUSED_BY

FAULT004,RC001,LIKELY_CAUSED_BY
FAULT004,RC007,LIKELY_CAUSED_BY

FAULT005,RC007,LIKELY_CAUSED_BY

FAULT006,RC010,LIKELY_CAUSED_BY

FAULT007,RC010,LIKELY_CAUSED_BY

FAULT008,RC002,LIKELY_CAUSED_BY

FAULT009,RC010,LIKELY_CAUSED_BY

FAULT010,RC008,LIKELY_CAUSED_BY
