node_id,node_type,name,domain
RC001,RootCause,Cooling System Failure,Battery
RC002,RootCause,Battery Cell Aging,Battery
RC003,RootCause,Sensor Calibration Error,Battery
RC004,RootCause,Charging System Failure,Battery
RC005,RootCause,Battery Internal Short Circuit,Battery
RC006,RootCause,Excessive Load Demand,Battery
RC007,RootCause,Thermal Management Failure,Battery
RC008,RootCause,Cell Balancing Failure,Battery
RC009,RootCause,Power Electronics Failure,Battery
RC010,RootCause,Battery Pack Degradation,Battery
